country_name,country_code,state_name,state_alpha,state_fips_code,marketing_id
UNITED STATES,9000,GEORGIA,GA,13,OCT THRU DECGA2016
UNITED STATES,9000,GEORGIA,GA,13,JAN THRU MARGA2015
UNITED STATES,9000,GEORGIA,GA,13,APR THRU JUNGA2015
UNITED STATES,9000,GEORGIA,GA,13,JUL THRU SEPGA2015
UNITED STATES,9000,GEORGIA,GA,13,OCT THRU DECGA2015
UNITED STATES,9000,HAWAII,HI,15,JAN THRU MARHI2020
UNITED STATES,9000,HAWAII,HI,15,APR THRU JUNHI2020
UNITED STATES,9000,HAWAII,HI,15,JAN THRU MARHI2019
UNITED STATES,9000,HAWAII,HI,15,JUL THRU SEPHI2019
UNITED STATES,9000,HAWAII,HI,15,OCT THRU DECHI2019
UNITED STATES,9000,HAWAII,HI,15,JAN THRU MARHI2018
UNITED STATES,9000,HAWAII,HI,15,APR THRU JUNHI2018
UNITED STATES,9000,HAWAII,HI,15,JUL THRU SEPHI2018
UNITED STATES,9000,HAWAII,HI,15,OCT THRU DECHI2018
UNITED STATES,9000,HAWAII,HI,15,JAN THRU MARHI2017
UNITED STATES,9000,HAWAII,HI,15,APR THRU JUNHI2017
UNITED STATES,9000,HAWAII,HI,15,JUL THRU SEPHI2017
UNITED STATES,9000,HAWAII,HI,15,OCT THRU DECHI2017
UNITED STATES,9000,HAWAII,HI,15,JAN THRU MARHI2016
UNITED STATES,9000,HAWAII,HI,15,APR THRU JUNHI2016
UNITED STATES,9000,HAWAII,HI,15,JUL THRU SEPHI2016
UNITED STATES,9000,HAWAII,HI,15,OCT THRU DECHI2016
UNITED STATES,9000,HAWAII,HI,15,JAN THRU MARHI2015
UNITED STATES,9000,HAWAII,HI,15,APR THRU JUNHI2015
UNITED STATES,9000,HAWAII,HI,15,JUL THRU SEPHI2015
UNITED STATES,9000,HAWAII,HI,15,OCT THRU DECHI2015
UNITED STATES,9000,IDAHO,ID,16,JAN THRU MARID2020
UNITED STATES,9000,IDAHO,ID,16,APR THRU JUNID2020
UNITED STATES,9000,IDAHO,ID,16,JAN THRU MARID2019
UNITED STATES,9000,IDAHO,ID,16,JUL THRU SEPID2019
UNITED STATES,9000,IDAHO,ID,16,OCT THRU DECID2019
UNITED STATES,9000,IDAHO,ID,16,JAN THRU MARID2018
UNITED STATES,9000,IDAHO,ID,16,APR THRU JUNID2018
UNITED STATES,9000,IDAHO,ID,16,JUL THRU SEPID2018
UNITED STATES,9000,IDAHO,ID,16,OCT THRU DECID2018
UNITED STATES,9000,IDAHO,ID,16,JAN THRU MARID2017
UNITED STATES,9000,IDAHO,ID,16,APR THRU JUNID2017
UNITED STATES,9000,IDAHO,ID,16,JUL THRU SEPID2017
UNITED STATES,9000,IDAHO,ID,16,OCT THRU DECID2017
UNITED STATES,9000,IDAHO,ID,16,JAN THRU MARID2016
UNITED STATES,9000,IDAHO,ID,16,APR THRU JUNID2016
UNITED STATES,9000,IDAHO,ID,16,JUL THRU SEPID2016
UNITED STATES,9000,IDAHO,ID,16,OCT THRU DECID2016
UNITED STATES,9000,IDAHO,ID,16,JAN THRU MARID2015
UNITED STATES,9000,IDAHO,ID,16,APR THRU JUNID2015
UNITED STATES,9000,IDAHO,ID,16,JUL THRU SEPID2015
UNITED STATES,9000,IDAHO,ID,16,OCT THRU DECID2015
UNITED STATES,9000,ILLINOIS,IL,17,JAN THRU MARIL2020
UNITED STATES,9000,ILLINOIS,IL,17,APR THRU JUNIL2020
UNITED STATES,9000,ILLINOIS,IL,17,JAN THRU MARIL2019
UNITED STATES,9000,ILLINOIS,IL,17,JUL THRU SEPIL2019
UNITED STATES,9000,ILLINOIS,IL,17,OCT THRU DECIL2019
UNITED STATES,9000,ILLINOIS,IL,17,JAN THRU MARIL2018
UNITED STATES,9000,ILLINOIS,IL,17,APR THRU JUNIL2018
UNITED STATES,9000,ILLINOIS,IL,17,JUL THRU SEPIL2018
UNITED STATES,9000,ILLINOIS,IL,17,OCT THRU DECIL2018
UNITED STATES,9000,ILLINOIS,IL,17,JAN THRU MARIL2017
UNITED STATES,9000,ILLINOIS,IL,17,APR THRU JUNIL2017
UNITED STATES,9000,ILLINOIS,IL,17,JUL THRU SEPIL2017
UNITED STATES,9000,ILLINOIS,IL,17,OCT THRU DECIL2017
UNITED STATES,9000,ILLINOIS,IL,17,JAN THRU MARIL2016
UNITED STATES,9000,ILLINOIS,IL,17,APR THRU JUNIL2016
UNITED STATES,9000,ILLINOIS,IL,17,JUL THRU SEPIL2016
UNITED STATES,9000,ILLINOIS,IL,17,OCT THRU DECIL2016
UNITED STATES,9000,ILLINOIS,IL,17,JAN THRU MARIL2015
UNITED STATES,9000,ILLINOIS,IL,17,APR THRU JUNIL2015
UNITED STATES,9000,ILLINOIS,IL,17,JUL THRU SEPIL2015
UNITED STATES,9000,ILLINOIS,IL,17,OCT THRU DECIL2015
UNITED STATES,9000,INDIANA,IN,18,JAN THRU MARIN2020
UNITED STATES,9000,INDIANA,IN,18,APR THRU JUNIN2020
UNITED STATES,9000,INDIANA,IN,18,JAN THRU MARIN2019
UNITED STATES,9000,INDIANA,IN,18,JUL THRU SEPIN2019
UNITED STATES,9000,INDIANA,IN,18,OCT THRU DECIN2019
UNITED STATES,9000,INDIANA,IN,18,JAN THRU MARIN2018
UNITED STATES,9000,INDIANA,IN,18,APR THRU JUNIN2018
UNITED STATES,9000,INDIANA,IN,18,JUL THRU SEPIN2018
UNITED STATES,9000,INDIANA,IN,18,OCT THRU DECIN2018
UNITED STATES,9000,INDIANA,IN,18,JAN THRU MARIN2017
UNITED STATES,9000,INDIANA,IN,18,APR THRU JUNIN2017
UNITED STATES,9000,INDIANA,IN,18,JUL THRU SEPIN2017
UNITED STATES,9000,INDIANA,IN,18,OCT THRU DECIN2017
UNITED STATES,9000,INDIANA,IN,18,JAN THRU MARIN2016
UNITED STATES,9000,INDIANA,IN,18,APR THRU JUNIN2016
UNITED STATES,9000,INDIANA,IN,18,JUL THRU SEPIN2016
UNITED STATES,9000,INDIANA,IN,18,OCT THRU DECIN2016
UNITED STATES,9000,INDIANA,IN,18,JAN THRU MARIN2015
UNITED STATES,9000,INDIANA,IN,18,APR THRU JUNIN2015
UNITED STATES,9000,INDIANA,IN,18,JUL THRU SEPIN2015
UNITED STATES,9000,INDIANA,IN,18,OCT THRU DECIN2015
UNITED STATES,9000,IOWA,IA,19,JAN THRU MARIA2020
